Kanji,Hiragana,Romaji,English,Level,PronunciationURL,Topic,Part_of_Speech
切る,きる,kiru,to cut,N5,,General,General
着る,きる,kiru,to put on from the shoulders down,N5,,General,General
,きれい,kirei,"pretty, clean",N5,,General,General
,キロ/キログラム,キロ/キログラム,Kilogram,N5,,General,General
,キロ/キロメートル,キロ/キロメートル,Kilometer,N5,,General,General
銀行,ぎんこう,ginkou,Bank,N5,,General,General
金曜日,きんようび,kinyoubi,Friday,N5,,General,General
薬,くすり,kusuri,medicine,N5,,General,General
,ください,kudasai,Please,N5,,General,General
果物,くだもの,kudamono,Fruit,N5,,General,General
口,くち,kuchi,"mouth, opening",N5,,General,General
靴,くつ,kutsu,Shoes,N5,,General,General
靴下,くつした,kutsushita,Socks,N5,,General,General
国,くに,kuni,Country,N5,,General,General
曇り,くもり,kumori,cloudy weather,N5,,General,General
曇る,くもる,kumoru,"to become cloudy, to become dim",N5,,General,General
暗い,くらい,kurai,Gloomy,N5,,General,General
,クラス,クラス,Class,N5,,General,General
,グラム,グラム,Gram,N5,,General,General
来る,くる,kuru,to come,N5,,General,General
車,くるま,kuruma,"car, vehicle",N5,,General,General
黒,くろ,kuro,Black,N5,,General,General
黒い,くろい,kuroi,black,N5,,General,General
警官,けいかん,keikan,policeman,N5,,General,General
今朝,けさ,kesa,this morning,N5,,General,General
消す,けす,kesu,"to erase, to turn off power",N5,,General,General
結構,けっこう,kekkou,"splendid, enough",N5,,General,General
結婚,けっこん,kekkon,Marriage,N5,,General,General
月曜日,げつようび,getsuyoubi,Monday,N5,,General,General
玄関,げんかん,genkan,entry hall,N5,,General,General
元気,げんき,genki,"health, vitality",N5,,General,General
五,ご,go,Five,N5,,General,General
公園,こうえん,kouen,Park,N5,,General,General
交差点,こうさてん,kousaten,intersection,N5,,General,General
紅茶,こうちゃ,koucha,black tea,N5,,General,General
交番,こうばん,kouban,police box,N5,,General,General
声,こえ,koe,Voice,N5,,General,General
,コート,コート,"coat, tennis court",N5,,General,General
,コーヒー,コーヒー,Coffee,N5,,General,General
,ここ,koko,Here,N5,,General,General
午後,ごご,gogo,afternoon,N5,,General,General
九日,ここのか,kokonoka,"nine days, ninth day",N5,,General,General
九つ,ここのつ,kokonotsu,Nine,N5,,General,General
午前,ごぜん,gozen,morning,N5,,General,General
答える,こたえる,kotaeru,to answer,N5,,General,General
,こちら,kochira,this person or way,N5,,General,General
,こっち,kocchi,this person or way,N5,,General,General
,コップ,コップ,a glass,N5,,General,General
今年,ことし,kotoshi,this year,N5,,General,General
言葉,ことば,kotoba,"word, language",N5,,General,General
子供,こども,kodomo,Child,N5,,General,General
,この,kono,This,N5,,General,General
御飯,ごはん,gohan,"cooked rice, meal",N5,,General,General
,コピーする,コピーsuru,to copy,N5,,General,General
困る,こまる,komaru,to be worried,N5,,General,General
,これ,kore,This,N5,,General,General
今月,こんげつ,kongetsu,this month,N5,,General,General
今週,こんしゅう,konshuu,this week,N5,,General,General
,こんな,konna,Such,N5,,General,General
今晩,こんばん,konban,this evening,N5,,General,General
,さあ,saa,well…,N5,,General,General
財布,さいふ,saifu,Wallet,N5,,General,General
魚,さかな,sakana,Fish,N5,,General,General
先,さき,saki,"the future, previous",N5,,General,General
咲く,さく,saku,to bloom,N5,,General,General
作文,さくぶん,sakubun,"composition, writing",N5,,General,General
差す,さす,sasu,"to stretch out hands, to raise an umbrella",N5,,General,General
雑誌,ざっし,zasshi,Magazine,N5,,General,General
砂糖,さとう,satou,Sugar,N5,,General,General
寒い,さむい,samui,Cold,N5,,General,General
さ来年,さらいねん,sarainen,year after next,N5,,General,General
三,さん,san,Three,N5,,General,General
散歩,さんぽする,sanposuru,to stroll,N5,,General,General
四,し / よん,shi/yon,Four,N5,,General,General
塩,しお,shio,Salt,N5,,General,General
,しかし,shikashi,However,N5,,General,General
時間,じかん,jikan,Time,N5,,General,General
仕事,しごと,shigoto,Job,N5,,General,General
辞書,じしょ,jisho,Dictionary,N5,,General,General
静か,しずか,shizuka,Quiet,N5,,General,General
下,した,shita,Below,N5,,General,General
七,しち / なな,shichi/nana,Seven,N5,,General,General
質問,しつもん,shitsumon,Question,N5,,General,General
自転車,じてんしゃ,jitensha,Bicycle,N5,,General,General
自動車,じどうしゃ,jidousha,Automobile,N5,,General,General
死ぬ,しぬ,shinu,to die,N5,,General,General
字引,じびき,jibiki,Dictionary,N5,,General,General
自分,じぶん,jibun,Oneself,N5,,General,General
閉まる,しまる,shimaru,"to close, to be closed",N5,,General,General
閉める,しめる,shimeru,to close something,N5,,General,General
締める,しめる,shimeru,to tie,N5,,General,General
,じゃ/じゃあ,ja/jaa,well then…,N5,,General,General
写真,しゃしん,shashin,photograph,N5,,General,General
,シャツ,シャツ,Shirt,N5,,General,General
,シャワー,シャワー,Shower,N5,,General,General
十,じゅう とお,juutoo,Ten,N5,,General,General
授業,じゅぎょう,jugyou,"lesson, class work",N5,,General,General
宿題,しゅくだい,shukudai,homework,N5,,General,General
上手,じょうず,jouzu,Skillful,N5,,General,General
丈夫,じょうぶ,joubu,"strong, durable",N5,,General,General
,しょうゆ,shouyu,soy sauce,N5,,General,General
食堂,しょくどう,shokudou,dining hall,N5,,General,General
知る,しる,shiru,to know,N5,,General,General
白,しろ,shiro,White,N5,,General,General
白い,しろい,shiroi,White,N5,,General,General
新聞,しんぶん,shinbun,newspaper,N5,,General,General
水曜日,すいようび,suiyoubi,Wednesday,N5,,General,General
吸う,すう,suu,"to smoke, to suck",N5,,General,General
,スカート,スカート,Skirt,N5,,General,General
好き,すき,suki,Likeable,N5,,General,General
少ない,すくない,sukunai,a few,N5,,General,General
,すぐに,suguni,Instantly,N5,,General,General
少し,すこし,sukoshi,Few,N5,,General,General
涼しい,すずしい,suzushii,Refreshing,N5,,General,General
,ストーブ,ストーブ,Heater,N5,,General,General
,スプーン,スプーン,Spoon,N5,,General,General
,スポーツ,スポーツ,Sport,N5,,General,General
,ズボン,ズボン,Trousers,N5,,General,General
住む,すむ,sumu,to live in,N5,,General,General
,スリッパ,スリッパ,Slippers,N5,,General,General
,する,suru,to do,N5,,General,General
座る,すわる,suwaru,to sit,N5,,General,General
背,せ,se,"height, stature",N5,,General,General
